dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹
Dr. Leena C D,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",30 years experience overall,"Hebbal,",Bangalore,100% ,1 Patient Story,₹800
Dr. Geetha Belliappa,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",31 years experience overall,"Bannerghatta Road,",Bangalore,95% ,22 Patient Stories,₹850
Dr. Praveena Shenoi,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",31 years experience overall,"Marathahalli,",Bangalore,98% ,345 Patient Stories,₹900
Dr. Chaithra S K,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",13 years experience overall,"Kalyan Nagar,",Bangalore,94% ,77 Patient Stories,₹550
Dr. Manjunath C S,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",19 years experience overall,"Koramangala,",Bangalore,93% ,53 Patient Stories,₹800
Dr. Chandrika P. Kulkarni,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine, DNB - Obstetrics & Gynecology",21 years experience overall,"Jayanagar,",Bangalore,90% ,57 Patient Stories,₹850
Dr. Nirmala Shivalingaiah,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",43 years experience overall,"Richmond Town,",Bangalore,91% ,19 Patient Stories,₹600
Dr. Meghana Reddy,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",10 years experience overall,"Marathahalli,",Bangalore,100% ,85 Patient Stories,₹800
Dr. Parimala Devi,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",37 years experience overall,"Bannerghatta Road,",Bangalore,73% ,23 Patient Stories,₹800
Dr. Devikarani,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",17 years experience overall,"Kalyan Nagar,",Bangalore,93% ,23 Patient Stories,₹800
Dr. Kanti sahu,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",27 years experience overall,"Kundalahalli,",Bangalore,89% ,22 Patient Stories,₹650
Dr. Raman Shobana,Gynecologist,"DGO, DNB - Obstetrics & Gynecology, MBBS",12 years experience overall,"Electronics City,",Bangalore,100% ,30 Patient Stories,₹850
Dr. Jayashree Nagraj Bhasgi,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",30 years experience overall,"Richmond Town,",Bangalore,97% ,53 Patient Stories,₹550
Dr. Nirmala Chandrashekar,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Gynaec Oncology",14 years experience overall,"Kengeri,",Bangalore,100% ,,₹700
Dr. Rashmi Patil,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS, DNB - Obstetrics & Gynecology, MRCOG(UK)",12 years experience overall,"Banashankari,",Bangalore,100% ,52 Patient Stories,₹650
Dr. Pavithra K,Gynecologist,"MBBS, DGO",11 years experience overall,"Malleswaram,",Bangalore,98% ,29 Patient Stories,₹850
Dr. Rashmi Choudhary,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",27 years experience overall,"Bellandur,",Bangalore,96% ,234 Patient Stories,₹850
Dr. Latha N,Gynecologist,"MBBS, DGO",28 years experience overall,"Padmanabhanagar,",Bangalore,99% ,189 Patient Stories,₹500
Dr. Lavanya J,Gynecologist,"MBBS, DGO",19 years experience overall,"Bagalakunte,",Bangalore,88% ,55 Patient Stories,₹300
Dr. Bhanu BT,Gynecologist,"MBBS, DGO, MS - Obstetrics & Gynaecology",20 years experience overall,"Rajajinagar,",Bangalore,99% ,70 Patient Stories,₹500
Dr. Nivedita,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",11 years experience overall,"Vasanthnagar,",Bangalore,97% ,58 Patient Stories,₹800
Dr. Mutyalatha Koppula,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",18 years experience overall,"Yelahanka New Town,",Bangalore,100% ,39 Patient Stories,₹400
Dr. Mangala Gowri,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",23 years experience overall,"Basavanagudi,",Bangalore,91% ,10 Patient Stories,₹650
Dr. Dhivya R,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",18 years experience overall,"Singasandra,",Bangalore,99% ,89 Patient Stories,₹500
Dr. Prajual S Hegde,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",28 years experience overall,"Koramangala 6 Block,",Bangalore,95% ,33 Patient Stories,₹600
Dr. Swetha Vinjamuri,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",17 years experience overall,"Thanisandra,",Bangalore,99% ,104 Patient Stories,₹500
Dr. Pramila Rodrigues,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",23 years experience overall,"Bannerghatta Road,",Bangalore,93% ,16 Patient Stories,₹600
Dr. Maheshwari,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",13 years experience overall,"Banashankari 1st Stage,",Bangalore,100% ,9 Patient Stories,₹550
Dr. Mohini N Prasad,Gynecologist,"MBBS, MRCOG(UK)",46 years experience overall,"Seshadripuram,",Bangalore,100% ,5 Patient Stories,₹740
Dr. Lakshmi Kumari,Gynecologist,"MBBS, DGO",26 years experience overall,"Electronics City,",Bangalore,100% ,8 Patient Stories,₹650
Dr. Shanthala S,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",27 years experience overall,"BTM Layout 2nd Stage,",Bangalore,81% ,56 Patient Stories,₹600
Dr. Anitha Rao,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",22 years experience overall,"Hebbal,",Bangalore,98% ,218 Patient Stories,₹750
Dr. Asha S Vijay,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",31 years experience overall,"Electronics City,",Bangalore,89% ,36 Patient Stories,₹550
Dr. Harshita Ramamurthy,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",12 years experience overall,"JP Nagar 6 Phase,",Bangalore,100% ,5 Patient Stories,₹500
Dr. Sunita DSouza Lobo,Gynecologist,"MBBS, DGO",30 years experience overall,"Richmond Town,",Bangalore,99% ,46 Patient Stories,₹500
Dr. Padmapriya G V,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS, DGO",14 years experience overall,"Rajajinagar,",Bangalore,100% ,30 Patient Stories,₹500
Dr. Dhershana Raja,Gynecologist,"MBBS, DGO",43 years experience overall,"Bellandur,",Bangalore,74% ,17 Patient Stories,₹550
Dr. Bharati Kamoji,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",27 years experience overall,"Sahakaranagar,",Bangalore,97% ,42 Patient Stories,₹850
Dr. Amulya R,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",11 years experience overall,"JP Nagar,",Bangalore,100% ,27 Patient Stories,₹500
Dr. Shalini K Mishra,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",12 years experience overall,"Marathahalli,",Bangalore,100% ,45 Patient Stories,₹500
Dr. Nagarathna D S,Gynecologist,"MBBS, DGO",25 years experience overall,"Koramangala 5 Block,",Bangalore,95% ,14 Patient Stories,₹700
Dr. Jyoti Kala,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",16 years experience overall,"Sarjapur Road,",Bangalore,98% ,34 Patient Stories,₹700
Dr. Nandhini Ravindran,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",16 years experience overall,"Ulsoor,",Bangalore,98% ,41 Patient Stories,₹600
Dr. Saba Fathima,Gynecologist,"MBBS, DGO",14 years experience overall,"HRBR Layout,",Bangalore,90% ,38 Patient Stories,₹850
Dr. Ranjitha G Babu,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",16 years experience overall,"Rajajinagar,",Bangalore,100% ,36 Patient Stories,₹600
Dr. K Monika Yadav,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",17 years experience overall,"Electronics City,",Bangalore,98% ,74 Patient Stories,₹850
Dr. Julie Thomas,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",23 years experience overall,"Electronics City,",Bangalore,88% ,52 Patient Stories,₹1000
Dr. Krishna Shaw,Gynecologist,"MBBS, DGO",30 years experience overall,"Electronics City,",Bangalore,74% ,30 Patient Stories,₹650
Dr. Anitha A Manoj,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",15 years experience overall,"Banashankari 1st Stage,",Bangalore,100% ,2 Patient Stories,₹500
Dr. Suvarna Jyothi G,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",13 years experience overall,"Indiranagar,",Bangalore,,,₹700
Dr. Aishwarya V. Mathikatti,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",15 years experience overall,"Rajajinagar,",Bangalore,94% ,36 Patient Stories,₹500
Dr. Bhavani M Hulinayakar,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",21 years experience overall,"Hebbal,",Bangalore,,,₹700
Dr. Shwetha S. Kamath,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",15 years experience overall,"RT Nagar,",Bangalore,98% ,187 Patient Stories,₹600
Dr. Chaitra Gowda K N,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",13 years experience overall,"Bellandur,",Bangalore,99% ,65 Patient Stories,₹850
Dr. Geeth Monnappa,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",18 years experience overall,"Richmond Town,",Bangalore,99% ,61 Patient Stories,₹600
Dr. Poornima M. Gowda,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO",20 years experience overall,"Whitefield,",Bangalore,94% ,165 Patient Stories,₹850
Dr. Smitha T,Gynecologist,"DGO, MBBS",11 years experience overall,"Whitefield,",Bangalore,90% ,8 Patient Stories,₹400
Dr. Archana Ramesh,Gynecologist,"DGO, MRCOG(UK), MBBS",15 years experience overall,"Banashankari,",Bangalore,100% ,7 Patient Stories,₹600
Dr. Vishnupriya,Gynecologist,"MBBS, DGO",16 years experience overall,"Whitefield,",Bangalore,92% ,79 Patient Stories,₹700
Dr. Ambika V,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",20 years experience overall,"Bannerghatta Road,",Bangalore,84% ,26 Patient Stories,₹850
Dr. Ramesh S M,Gynecologist,"MBBS, MS - General Surgery, DGO",23 years experience overall,"Richmond Town,",Bangalore,100% ,7 Patient Stories,₹550
Dr. Dershana Rajaram P,Gynecologist,"MBBS, DGO",38 years experience overall,"Sarjapur Road,",Bangalore,70% ,6 Patient Stories,₹700
Dr. Nusrat,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",16 years experience overall,"Banashankari,",Bangalore,96% ,13 Patient Stories,₹600
Dr. Deepthi Ashwin,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",13 years experience overall,"Cunningham Road,",Bangalore,98% ,24 Patient Stories,₹600
Dr. Smrithi D Nayak,Gynecologist,"MBBS, DGO",13 years experience overall,"JP Nagar,",Bangalore,100% ,71 Patient Stories,₹750
Dr. Nagaveni.R,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",15 years experience overall,"Kothanur,",Bangalore,99% ,655 Patient Stories,₹500
Dr. Swati Shree,Gynecologist,"MBBS, Fellowship in Reproductive Medicine, DNB - Obstetrics & Gynecology",5 years experience overall,"Varthur,",Bangalore,100% ,4 Patient Stories,₹600
Dr. Chitra Sreenivasa Murthy,Gynecologist,"MBBS, DGO, MRCOG(UK)",21 years experience overall,"Electronics City,",Bangalore,93% ,66 Patient Stories,₹850
Dr. Padmapriya G V,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS, DGO",14 years experience overall,"Rajajinagar,",Bangalore,100% ,30 Patient Stories,₹500
Dr. Bharati Kamoji,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",27 years experience overall,"Sahakaranagar,",Bangalore,97% ,42 Patient Stories,₹850
Dr. Smitha A.P.,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",19 years experience overall,"Old Airport Road,",Bangalore,99% ,57 Patient Stories,₹850
Dr. Indrani C.E.,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",41 years experience overall,"HRBR Layout,",Bangalore,98% ,41 Patient Stories,₹600
Dr. Mangala Ramachandra,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO",38 years experience overall,"Bannerghatta Road,",Bangalore,85% ,51 Patient Stories,₹800
Dr. Aparna Shintre,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO",25 years experience overall,"Malleswaram,",Bangalore,98% ,52 Patient Stories,₹850
Dr. Nivedita,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",11 years experience overall,"Vasanthnagar,",Bangalore,97% ,58 Patient Stories,₹800
Dr. Hemanandini Jayaraman,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",28 years experience overall,"Old Airport Road,",Bangalore,95% ,47 Patient Stories,₹750
Dr. Chitra Ramamurthy,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",42 years experience overall,"Bannerghatta Road,",Bangalore,94% ,53 Patient Stories,₹850
Dr. Garima Jain,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",25 years experience overall,"Whitefield,",Bangalore,95% ,54 Patient Stories,₹800
Dr. Prabha Ramakrishna,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology, FRCOG (UK)",23 years experience overall,"Electronics City,",Bangalore,81% ,61 Patient Stories,₹850
Dr. (Mrs.) Vishnu Vandana,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",13 years experience overall,"HSR Layout,",Bangalore,96% ,29 Patient Stories,₹500
Dr. Aishwarya V. Mathikatti,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",15 years experience overall,"Rajajinagar,",Bangalore,94% ,36 Patient Stories,₹500
Dr. Savitha G,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",18 years experience overall,Bangalore,Bangalore,100% ,25 Patient Stories,₹450
Dr. Pooja Sahni,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",12 years experience overall,"Kammana Halli,",Bangalore,100% ,40 Patient Stories,₹600
Dr. Roopa R,Gynecologist,"MBBS, DGO",26 years experience overall,"Jayanagar 9 Block,",Bangalore,96% ,27 Patient Stories,₹500
Dr. Suhasini Inamdar,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",37 years experience overall,"Indiranagar,",Bangalore,97% ,49 Patient Stories,₹800
Dr. Haritha Rao,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",25 years experience overall,"Indiranagar,",Bangalore,97% ,39 Patient Stories,₹750
Dr. Prajual S Hegde,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",28 years experience overall,"Koramangala 6 Block,",Bangalore,95% ,33 Patient Stories,₹600
Dr. Kavitha G Pujar,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",20 years experience overall,"Whitefield,",Bangalore,100% ,18 Patient Stories,₹600
Dr. D Vijaya Meenakshi,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",19 years experience overall,"Whitefield,",Bangalore,96% ,45 Patient Stories,₹850
Dr. Kavita Peter Gonsalves,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",14 years experience overall,"Bannerghatta Road,",Bangalore,67% ,2 Patient Stories,₹850
Dr. Anjana Ramesh,Gynecologist,"DNB - Obstetrics & Gynecology, MBBS, MD - Obstetrics & Gynaecology",34 years experience overall,"HAL 3rd Stage,",Bangalore,84% ,28 Patient Stories,₹600
Dr. Priyanka Mohan,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",12 years experience overall,"Bellandur,",Bangalore,100% ,18 Patient Stories,₹850
Dr. Shilpashree. N,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",15 years experience overall,"Kanakpura Road,",Bangalore,98% ,49 Patient Stories,₹850
Dr. Ananya Polam Reddy,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",9 years experience overall,"Whitefield,",Bangalore,97% ,124 Patient Stories,₹850
Dr. Divya L,Gynecologist,"MBBS, DGO",17 years experience overall,"Nagasandra,",Bangalore,100% ,8 Patient Stories,₹400
Dr. Pavana Prakash,Gynecologist,"MBBS, DGO",22 years experience overall,"VV Puram,",Bangalore,100% ,28 Patient Stories,₹600
Dr. Mamatha P,Gynecologist,"MBBS, DGO",14 years experience overall,"JP Nagar 7 Phase,",Bangalore,100% ,,₹650
Dr. Sapna N,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",16 years experience overall,"HSR Layout,",Bangalore,88% ,12 Patient Stories,₹500
Dr. Ambuja B N,Gynecologist,"MBBS, DGO, MD - Obstetrics & Gynaecology",30 years experience overall,"Sampangiramnagar,",Bangalore,95% ,8 Patient Stories,₹600
Dr. Sunitha Gali,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",17 years experience overall,"Sahakaranagar,",Bangalore,91% ,11 Patient Stories,₹500
Dr. Triveni Arun,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",16 years experience overall,"Sahakaranagar,",Bangalore,100% ,23 Patient Stories,₹850
Dr. Aruna Thangapandy,Gynecologist,"MBBS, DGO",15 years experience overall,"Mahadevapura,",Bangalore,,,₹700
Dr. Sharmila S,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",22 years experience overall,"Ashoknagar,",Bangalore,100% ,3 Patient Stories,₹800
Dr. Vandana Ramanathan,Gynecologist,"MBBS, Fellowship in Reproductive Medicine, DNB - Obstetrics & Gynecology",10 years experience overall,"Kalyan Nagar,",Bangalore,100% ,2 Patient Stories,₹550
Dr. Geetha Nagarjuna,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",12 years experience overall,"Banashankari,",Bangalore,100% ,86 Patient Stories,₹600
Dr. Manjula Patil,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",24 years experience overall,"Rajarajeshwarinagar,",Bangalore,,,₹500
Dr. Shivani Chandan L,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",11 years experience overall,"JP Nagar,",Bangalore,98% ,35 Patient Stories,₹750
Dr. Smitha R,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",25 years experience overall,"VV Puram,",Bangalore,100% ,3 Patient Stories,₹600
Dr. Deepshika Jha,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",8 years experience overall,"Hebbal,",Bangalore,99% ,81 Patient Stories,₹750
Dr. Sumana,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",11 years experience overall,"Nagarbhavi 2nd Stage,",Bangalore,100% ,3 Patient Stories,₹500
Dr. Teresa Karpagaselvi,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",8 years experience overall,"Akshaya nagar,",Bangalore,100% ,6 Patient Stories,₹500
Dr. Shashikala K.T,Gynecologist,"MBBS, DGO, Fellowship in Reproductive Medicine",14 years experience overall,"Kammana Halli,",Bangalore,93% ,12 Patient Stories,₹650
Dr. Chinmayie R,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",13 years experience overall,"Basavanagudi,",Bangalore,100% ,3 Patient Stories,₹550
Dr. Harinath K S,Gynecologist,"MBBS, DGO",15 years experience overall,"Richmond Town,",Bangalore,100% ,13 Patient Stories,₹600
Dr. Jahnavi Esanakula,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",9 years experience overall,"Electronics City,",Bangalore,100% ,2 Patient Stories,₹550
Dr. Savitha Joshi,Gynecologist,"MBBS, DGO",45 years experience overall,"Rajajinagar,",Bangalore,,,₹500
Dr. Diana Bernard,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",15 years experience overall,"Hebbal,",Bangalore,100% ,9 Patient Stories,₹750
Dr. Rakhi Mohan,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",15 years experience overall,"Doddakammanahalli,",Bangalore,100% ,,₹600
Dr. Priyanka Rani,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, Fellowship in Reproductive Medicine",16 years experience overall,"Electronics City,",Bangalore,86% ,4 Patient Stories,₹550
Dr. Jyothi Rajesh,Gynecologist,"MBBS, DGO",25 years experience overall,"Bellandur,",Bangalore,27% ,8 Patient Stories,₹650
Dr. G Srividya Reddy,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",12 years experience overall,"Marathahalli,",Bangalore,100% ,4 Patient Stories,₹800
Dr. Nidhi Jhawar,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, Fellowship in Reproductive Medicine",9 years experience overall,"Richmond Town,",Bangalore,100% ,3 Patient Stories,₹1200
Dr. Meera Kumari,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",10 years experience overall,"Kanakpura Road,",Bangalore,100% ,9 Patient Stories,₹700
